Text,True_Label,predicted_label,confusion_matrix_class
vietnam korban meninggal covid teh lemon,1,1,True Negative
gerindra bela desmond digeruduk kader pdip bicara keras hatinya,0,0,True Positive
gelisah jokowi ekspansi ideologi transnasional,0,0,True Positive
ahy kader jemawa elektabilitas demokrat,0,0,True Positive
berkumur air garam meminum air hangat membunuh virus corona perut,1,1,True Negative
jerman awan hitam tedengar suara adzan lingkungan tdk masjid,1,1,True Negative
formappi ruu ikn supercepat sembunyi minim partisipasi publik,0,0,True Positive
covid reda jokowi pusing invasi rusia,0,1,False Negative
sekjen pbb obrolan yusril jokowi istana presiden,0,0,True Positive
kfc ember ayam gratis merayakan kfc,1,1,True Negative
kpu dpr rapat bahas anggaran pemilu,0,0,True Positive
fadli zon panglima pengganti andika angkatan laut,0,0,True Positive
yusril bela kubu moeldoko demokrat bicara invisible power,0,0,True Positive
sandiaga temui prabowo bahas langkah politik jelang pilpres,0,0,True Positive
bantuan juta rupiah bpjs kesehatan,1,1,True Negative
survei elektabilitas ganjar tertinggi puan terendah jatim,0,0,True Positive
rapat paripurna dpr dihadiri anggota fisik puan hadir,0,0,True Positive
tes swab menggores amigdala zaman mesir kuno budak patuh,1,1,True Negative
kader demokrat bubarkan acara kubu moeldoko banten,0,0,True Positive
nama puan disoraki ganjar anies disambut kader pan rakernas,0,0,True Positive
pkb gelar diskusi ubah pasal pemilu uud,0,0,True Positive
uas tersangka polri amankan uang sumbangan umat,1,1,True Negative
adian pdip klaim publik puas kinerja jokowi ketimbang sby,0,0,True Positive
demokrat lirik golkar bangun koalisi pilpres,0,0,True Positive
video kecelakaan daerah bedono kabupaten semarang tanggal juni,1,1,True Negative
paus jenis nun terdampar pantai nunhila,1,1,True Negative
megawati bantah retak jokowi ngamuk,0,1,False Negative
cerita megawati bisiki jokowi pilih ma ruf wapres mahfud md polhukam,0,0,True Positive
fahri hamzah kritik pendukung pileg tertutup partai haus kekuasaan,0,0,True Positive
pemesanan online vaksin covid sinopharm e commerce,1,1,True Negative
memakan janin bayi,1,1,True Negative
vaksin covid picu hiv aids,1,1,True Negative
produksi gula merah palsu banyumas,1,1,True Negative
elite parpol bersikap dharmawangsa kpu komentar mk,0,0,True Positive
relawan jokowi gelar musra bandung jaring nama capres,0,0,True Positive
foto pemerintah sibuk melawan corona anies sibuk main bola anaknya,1,1,True Negative
suharso klaim terima surat desakan mundur majelis ppp,0,0,True Positive
kemendagri tahapan pemilu juni,0,0,True Positive
anggota dprd bandarlampung ancam gelar paripurna tandingan,0,0,True Positive
gambar postingan twitter denny siregar hidupnya berat,1,1,True Negative
foto perkumpulan maling suara,1,1,True Negative
lianhua qingwen obat covid,1,1,True Negative
jenius minum ajinomoto,1,1,True Negative
foto rizieq memakai baju tahanan celana pendek diborgol,1,1,True Negative
dpr sahkan ruu ikn undang undang pekan,0,0,True Positive
akun whatsapp direktur rsud indramayu deden bonni koswara,1,1,True Negative
memakai masker menerus menyebabkan kanker paru paru,1,1,True Negative
mega rakernas pdip makan bakso bareng puan prananda,0,0,True Positive
kaesang kenakan kaus oblong hitam berlogo palu arit,1,1,True Negative
daftar nama pj gubernur pilihan jokowi tito karnavian,0,0,True Positive
artikel analisis mulyo wibisono diedarkan,1,1,True Negative
pembangkit nuklir meledak akibat gempa bumi turki,1,1,True Negative
uang tunjangan ketua dprd dki klaim bantu warga,0,0,True Positive
prabowo alasan menteri jokowi kalah pilpres,0,0,True Positive
haji batal dana diusulkan guru honorer,0,1,False Negative
bidik suara gerindra pks partai buruh lolos dpr,0,0,True Positive
singapura hentikan vaksinasi orang meninggal negaranya,1,1,True Negative
hotman paris laporkan nikita mirzani farhat abbas polisi,1,1,True Negative
meminum minuman panas menghirup uap panas membunuh virus corona,1,1,True Negative
vaksin sinovac vaksin yg peruntukkan ayam,1,1,True Negative
tanggal mei pendukung kepung kpu wiranto biarkan bahan berburu menembak tni polri,1,1,True Negative
virus covid memiliki motif antibody dependent enhancement ade,1,1,True Negative
kejadian hotel gutian street wuhan,1,1,True Negative
razia masker serentak denda rp wilayah kabupaten kota bandung,1,1,True Negative
portal berita daily mirror menyebarluaskan informasi penggunaan mainan seks meningkatkan resiko serangan jantung wanita,1,1,True Negative
jokowi berharap menerima kehadiran tka cina saudara mencari nafkah,1,1,True Negative
video awan supercell miami,1,1,True Negative
game gratis tanggal februari,1,1,True Negative
foto penyanyi korea won young ive kurus,1,1,True Negative
marquez ditolak rumah sakit bpjs peduli lindungi aktif,1,1,True Negative
wacana rujuk pks gerindra demokrat bicara nasib anies capres,0,0,True Positive
demokrat sentil bamsoet pemilu ditunda presiden legitimasi,0,0,True Positive
pan umumkan wiranto kader februari,0,0,True Positive
viani limardi siapkan berkas gugat psi rp triliun,0,1,False Negative
pkb jokowi sentil menteri bahlil pilpres ditunda,0,0,True Positive
dprd jatim polisi usut beras bansos berkutu,0,0,True Positive
sby pegang erat tangan anies baswedan kumpul bareng surya paloh,0,0,True Positive
ppp lampung deklarasi dukung ganjar pranowo capres,0,0,True Positive
tautan subsidi pulsa rp ribu kuota gb kemendikbud periode desember,1,1,True Negative
kereta cepat jakarta – bandung alami kecelakaan,1,1,True Negative
guyon jokowi senang wapres kiai ma ruf amin,0,1,False Negative
anggaran rp m kunjungan dapil dprd dki jakarta disetujui,0,0,True Positive
ketua pemuda pancasila japto dukung kader capres anies,0,0,True Positive
cristiano ronaldo keturunan bali,1,1,True Negative
anies baswedan respons tuduhan politik identitas bukti,0,0,True Positive
survei smrc elektabilitas pdip tertinggi ppp pan terancam,0,0,True Positive
adian sentil ahy jokowi tinggal gunting pita data salah total,0,0,True Positive
orang cina ktp cilacap nama karsono,1,1,True Negative
pdip rilis nama layak capres puan risma ganjar,0,0,True Positive
komisi iii cecar mahfud km rapat sambo,0,0,True Positive
diwacanakan duet ganjar erick thohir mengaku fokus kerja,0,0,True Positive
isu reshuffle menguat prabowo mendadak istana sore,0,0,True Positive
mpr gelar sidang istimewa pemakzulan jokowi disahkan,1,0,False Positive
video ri tolak perdamaian tingkatkan serangan brutal kota kuala lumpur malaysia,1,1,True Negative
wabah flu spanyol penyebabnya virus gejala pneumonia bakteri akibat wajib masker,1,1,True Negative
kronologi konsolidasi mahasiswa dilarang pakai gedung cibubur,0,1,False Negative
demokrat ajak publik awasi sidang gugatan kubu moeldoko,0,0,True Positive
anggaran pemilu cair kpu tunggu pemerintah dpr,0,0,True Positive
demokrat posisi parpol berkat menang lawan moeldoko,0,0,True Positive
masker impor china cacing ulat,1,1,True Negative
korea selatan kelabakan lihat warganya meninggal persatu disuntik vaksin,1,1,True Negative
restoran hotel nigeria ditutup menyajikan makanan daging manusia,1,1,True Negative
ketua komisi x dpr kemendikbud bekukan diksar menwa kampus,0,0,True Positive
pbb respons yuslih ihza mahendra gabung demokrat hibahkan,0,0,True Positive
stroke kambuh prabowo batal orasi politik acara fraksi pks,1,0,False Positive
nu cabang nasrani gelar lomba natal,1,1,True Negative
ridwan kamil dukungannya jawa barat jakarta,0,0,True Positive
sudirman said dengar perjanjian anies prabowo,0,0,True Positive
megawati pastikan pecat kader loyal pdip,0,0,True Positive
ponpes bata bata pamekasan dukung khilafah gantikan pancasila,1,0,False Positive
pemerintah indonesia mewajibkan pria dewasa berpoligami mengurangi janda,1,1,True Negative
gitu drun… nih bukti si an s basedan jongos cina,1,1,True Negative
formappi kritik sikap pasif dpr twk kpk,0,0,True Positive
cerita ganjar gibran bobby tidur ranjang bertingkat sekolah pdip,0,0,True Positive
pdip sindir firli bicara ambang batas presiden offside jalur,0,0,True Positive
partai buruh batal aksi may day jis direstui anies,0,0,True Positive
kota cirebon lockdown,1,1,True Negative
spanduk pakanbaru riau,1,1,True Negative
menhan prabowo ditekan beli pesawat tempur china,1,1,True Negative
jokowi respons isu cawapres,0,0,True Positive
video jokowi biarkan tka china yg pusat wabah corona utk masuk tinggal indonesia,1,1,True Negative
gerindra pesan prabowo selamatkan garuda indonesia,0,0,True Positive
video berita viral innalillah november gunung semeru meletus kali hancur,1,1,True Negative
anggota tgupp tuding kader psi sebar hoaks anies baju capres,0,0,True Positive
pernyataan ketua satgas covid terkait hirup uap air panas membunuh virus corona,1,1,True Negative
wajah hacker perusak server kpud jabar,1,1,True Negative
pakar tanggapi pengangkatan pangkostrad wakasad,0,0,True Positive
protes pendukung eks ketua dpd demokrat ntt dilaporkan bakar foto ahy,0,0,True Positive
ketua kpu temuan kpk bawaslu prestasi,0,0,True Positive
megawati percayakan penjaringan caleg pdip prananda,0,0,True Positive
tegaskan setia jokowi nasdem ungkit pengorbanan paloh,0,0,True Positive
manokwari ditetapkan kota injil melarang perempuan berjilbab adzan pembangunan mesjid,1,1,True Negative
judul artikel nikita mirzani tantang tes dna buktikan cucu nabi hasilnya ngibul bohong cucu dajjal percaya,1,1,True Negative
sekum bantah video muhammadiyah dukung anies maju capres,0,1,False Negative
kondisi terkini bahar bin smidh dipindahkan rutan pondok bambu,1,1,True Negative
respons puan duet anies pdip sentil kelas bahlil wartawan,0,0,True Positive
pelintiran video sby dukung nomor,1,1,True Negative
dpr anggarkan rp m beli tv led ruang kerja anggota dewan,0,0,True Positive
peringatan gempa tsunami akun bupati bantaeng,1,1,True Negative
ketua dprd ancam lapor bareskrim utang rp t dipakai formula e,0,0,True Positive
hasto pdip kritik acara relawan jokowi menjanjikan sehat,0,0,True Positive
anggota dpr menkes pastikan wakil rakyat icu,0,0,True Positive
tangkapan layar kompas com eksclusive kapal selam cina b kri nanggala,1,1,True Negative
anak budi gunawan jabat ketum bmi organisasi sayap pdip,0,0,True Positive
corona hoaks,1,1,True Negative
foto satunya orang diizinkan duduk kabah tukang bersih bersih,1,1,True Negative
jokowi kantongi nama calon pj gubernur dki pengganti anies baswedan,0,0,True Positive
video penampakan tuyul konter hp,1,1,True Negative
rapat koalisi rumah anies ahy temui surya paloh besok,0,0,True Positive
berhak terima hadiah cashback voucher pulsa gratis telegram senilai,1,1,True Negative
luncurkan aplikasi mpp pdip bertransformasi jelang hut,0,1,False Negative
pdip angkat bambang pacul ketua komisi iii dpr,0,0,True Positive
demokrat apdesi gerakan terorisme konstitusi,0,0,True Positive
penyanyi dangdut aty kodong meninggal dunia,1,1,True Negative
cak imin deklarasi capres pkb gerindra tunggu petunjuk,0,0,True Positive
garam dimasak racun,1,1,True Negative
video ferry irawan jujur uya kuya,1,1,True Negative
jokowi bahlil teriak lanjutkan hut hipmi namanya wacana,0,0,True Positive
wagub dki jakarta pilih prabowo ketimbang anies pilpres,0,0,True Positive
aksi demo menolak tka pemukulan mahasiswa polisi tewas,1,1,True Negative
komisi iii dpr panggil lpsk komnas ham kompolnas bahas sambo,0,0,True Positive
protes jokowi berujung ditangkap dpr sentil kapolri,0,0,True Positive
akun facebook ketua kpu ri arief budiman,1,1,True Negative
kejahatan ukraina meningkat,1,0,False Positive
nasdem ingatkan perpanjangan aktif panglima tni subjektif,0,0,True Positive
tepung terigu obati luka bakar,1,1,True Negative
m romahurmuziy naikkan bbm spbu salahkan presiden cinta rakyat,1,1,True Negative
ruu tpks disahkan rapat paripurna,0,0,True Positive
selebaran kupon bazaar beras murah bergambar wajah charles honoris kader pdip perjuangan,1,1,True Negative
effendi simbolon lubuk hati maaf,0,0,True Positive
anies baswedan kriteria cawapres pendampingnya,0,0,True Positive
video tiktok hana hanifah kantor berlogo bin,1,1,True Negative
tjiptaning jokowi berani gebuk ibunya ketum gerwani,1,0,False Positive
pesan berantai peringatan orang pintu pintu membagikan masker,1,1,True Negative
bintang sepakbola dunia menutup sebelah matanya dukungan penembakan wartawan foto palestina muath amarneh,1,1,True Negative
uang pecahan selembar juta,1,1,True Negative
gugatan viani limardi ditolak psi desak proses paw dprd dki,0,0,True Positive
paham politik gak sih,1,1,True Negative
vaksinasi covid warga non dki jakarta istora senayan,1,1,True Negative
ima pdip gusar jilbab sekolah guru digaji pajak baznas,0,0,True Positive
gede pasek doakan ahy capres cawapres,0,0,True Positive
rapat dpr walkot tidore cerita pltu bocor cemari pemukiman warga,0,0,True Positive
taman udayana mataram demo kemarin gedung dpr,1,0,False Positive
pdip curiga harmoko jilid usul penundaan pemilu,0,0,True Positive
pesan whatsapp kemenbumn angkat advisor gaji minimal rp juta,1,1,True Negative
tes baca quran mengejutkan prabowo,1,1,True Negative
pks pidato jokowi sidang mpr berpijak kenyataan,0,0,True Positive
foto penampakan sosok misterius dibalik tembok china yg warga china ketakutan,1,1,True Negative
sekwan dprd bantah interpelasi disisipkan rapat bamus,0,0,True Positive
waketum pkb pemerintah sepakat pemilu februari,0,0,True Positive
irma nasdem pencetus tunda pemilu kena jebakan batman,0,0,True Positive
video hackers enter indo tv,1,1,True Negative
hydroxychloroquine obat malaria uganda,1,1,True Negative
anies safari makassar ganjar kirab raja borobudur,0,0,True Positive
mahfud warga takut mati covid ekonomi,0,1,False Negative
lesti terpilih bupati cianjur,1,0,False Positive
krn pemerintahnya ngeyel rakyatnya bandel indonesia dilockdown dunia,1,1,True Negative
fadli zon dilaporkan mkd dpr buntut kritik uu cipta kerja,0,0,True Positive
dicopot komisaris bumn ketua joman duga akibat bela munarman,0,0,True Positive
mengatasi maag asam lambung totok kaki,1,1,True Negative
hati alat sdh setting suhu °c olh komunis cina utk mmbunuh ulama,1,1,True Negative
yusril terima dukungan capres terima kasih jokowi,0,0,True Positive
dahnil ajak pendukung prabowo mudik lebaran kuda,1,1,True Negative
skema keanggotaan platform digital bank indonesia,1,1,True Negative
ketua dprd solok ricuh anggota dewan imbas dinamika politik,0,0,True Positive
jokowi siapkan perpres permudah tenaga kerja asing,1,1,True Negative
ketua dprd dki protes diperiksa interpelasi salah,0,0,True Positive
biaya pendidikan sistem kampus merdeka universitas negri yogyakarta,1,1,True Negative
rektor ui rangkap jabatan demokrat sorot konsistensi jokowi,0,0,True Positive
ketua kpu tolak e voting pemilu potensi curang rekapitulasi,0,0,True Positive
video presiden putin turki membahas palestina erdogan,1,1,True Negative
puan safari politik besok temui surya paloh,0,0,True Positive
pdip jokowi kantongi nama pj gubernur dki pengganti anies,0,0,True Positive
foto mengaku slah sby maaf jokowi,1,1,True Negative
kpu panik data bpn tni pks ipb itb memenangkan,1,1,True Negative
pilar masjid pontianak bergeser,1,1,True Negative
perang dunia iii pecah china iran terlibat konflik indonesia australia,1,1,True Negative
spanduk suharso gusur ucapan selamat mardiono dpp ppp,0,0,True Positive
dpw ppp respons rencana deklarasi anies capres yogya,0,0,True Positive
pdip kib gerindra pkb daftar bareng kpu,0,0,True Positive
foto kaca mobil bertuliskan f ck you greta,1,1,True Negative
dilantik dubes agus widjojo jabat gubernur lemhanas,0,0,True Positive
bayi selamat terkubur lumpur minggu,1,1,True Negative
foto merobek membakar kencingi al quran wanita langsung azab allah,1,1,True Negative
nakhoda nasdem out suara stagnan,0,0,True Positive
musra ii digelar makassar panitia undang jokowi,0,1,False Negative
waketum ppp sindir presiden ri alumni ugm,0,0,True Positive
infografis integrasi tarif tol jorr,1,1,True Negative
firza kunci,1,1,True Negative
foto pasca banjir kulawi desember,1,1,True Negative
max sopacua penyiar berita tvri politikus,0,1,False Negative
ramai kritik penunjukan pj kepala daerah pembangkangan pemerintah,0,0,True Positive
airlangga isu diduetkan anies lihat,0,0,True Positive
video sambo istri dieksekusi lembah kematian nusakambangan,1,1,True Negative
fadli zon istigfar menag yaqut bikin gaduh gonggongan anjing,0,0,True Positive
jembatan palembang dipenuhi pendukung jokowi saking penuhnya tumpukan pasir,1,1,True Negative
tangkapan layar artikel kompas tv perang rusia ukraina pecah pemerintah ajak masyarakat wajib militer antisipasi perang dunia,1,1,True Negative
foto spanduk optimis jokowi bohong ingkar janji,1,1,True Negative
kpu pelajari usulan tito undur pemilu mei,0,0,True Positive
pernyataan sby terkait kemenangan partainya amerika serikat,1,1,True Negative
marak baliho puan maharani dipasang anggota dpr pdip,0,0,True Positive
pamflet kegiatan penghimpunan penggalangan dana membantu korban bencana alam kemensetneg,1,1,True Negative
dpr pemerintah rapat bahas ruu ikn malam,0,0,True Positive
narasi keliru foto kawanan serigala,1,1,True Negative
elite pdip soroti janggal kertas putih ditutup kapolres jaksel,0,0,True Positive
fahri hamzah nilai fadli zon mustahil pindah partai,0,0,True Positive
video vaksinasi mall t anggrek,1,1,True Negative
foto masjid megah stadion bayern munchen allianz arena,1,1,True Negative
robot berukuran sel ditemukan vaksin covid,1,1,True Negative
deklarasitemanganjar anies rk,0,0,True Positive
jokowi buka suara kekerasan seksual ruu tpks diharapkan sah,0,0,True Positive
daftar perlengkapan medis rumah hadapi covid,1,1,True Negative
demokrat sentil jokowi koalisi urusan istana,0,0,True Positive
btw listrik diem tu cebong ngeluh gk ya,1,1,True Negative
ramalan kartun the simpsons presiden amerika donald trump meninggal agustus,1,1,True Negative
panggung kemesraan puan megawati rakernas pdip,0,0,True Positive
foto ratu megawati,1,1,True Negative
hamil dilarang nonton gerhana bahaya,1,1,True Negative
pelaksanaan wisuda uin imam bonjol padang angkatan,1,1,True Negative
nu gelar konvensi calon presiden,1,0,False Positive
tiket promo kereta api hut bumn,1,1,True Negative
ketua dpp sentil anies temui gibran solo pecah belah pdip,0,0,True Positive
sabam sirait dimakamkan militer tmp kalibata,0,0,True Positive
majalah italia memprediksi dunia,1,1,True Negative
bantuan voucer pulsa senilai rp juta bssn badan siber sandi negara masyarakat terdampak covid,1,1,True Negative
bawaslu kpud umumkan verifikasi partai cek langsung,0,0,True Positive
mk pks perbaiki berkas gugatan ambang batas capres persen,0,0,True Positive
video mengecek minyak goreng bekas,1,1,True Negative
nasdem anggota dpr pilih isoman rumah hotel,0,0,True Positive
sekjen gerindra buzzer adu domba antarumat,0,0,True Positive
pemerintah siapkan aturan turunan uu ikn,0,0,True Positive
airlangga pertemuannya susi aspirasi,0,0,True Positive
foto anies baswedan berswafoto lokasi banjir,1,1,True Negative
foto akting plandemi kantong mayat palsu india,1,1,True Negative
peneliti duga kepentingan pelarian dpr jegal ekstradisi singapura,0,0,True Positive
gambar asli bacteriophage mikroskop,1,1,True Negative
anies relawan diam harapkan perubahan,0,0,True Positive
yasonna kritik hotman paris kuhp dunia kiamat,0,0,True Positive
bpmi bagikan dana bantuan pekerja migran rp juta,1,1,True Negative
rebusan air campuran bawang merah kunyit jahe bersihkan paru paru kotor akibat rokok,1,1,True Negative
kematian lisa marie presley berkaitan suntikan vaksin covid,1,1,True Negative
gelang power balance menyembuhkan corona,1,1,True Negative
covid komisi i dpr ppkm darurat dievaluasi,0,0,True Positive
jokowi stres gibran dihukum mati,1,1,True Negative
video puisi gus mus allahu akbar,1,1,True Negative
pdip ditinggalkan koalisi golkar pan ppp,0,0,True Positive
dpr dukung kpk pelototi uji kelayakan anggota bpk,0,0,True Positive
video persilangan hewan sapi n babi,1,1,True Negative
selasa pagi innalillahi wainna ilaihi rajiun tri suaka rekan nya meninggal akibat kecelakaan,1,1,True Negative
website portal vaksin covid corporate realty co,1,1,True Negative
bantuan ppkm rp juta pemilik sertifikat vaksinasi,1,1,True Negative
airlangga genjot elektabilitas,0,0,True Positive
telur palsu pembungkusnya kertas silicon kuning telurnya,1,1,True Negative
video cino cino kpnkah adiliperampokdanahaji,1,1,True Negative
vaksin disimpan derajat vaksin agen transfeksi memanipulasi genetika manusia,1,1,True Negative
demokrat cemas moeldoko mainkan siasat kamar gelap kekuasaan,0,0,True Positive
link kuesioner pln berhadiah,1,1,True Negative
foto relawan dibebaskan prabowo penjara,1,1,True Negative
luhut kiswah bertemu pangeran saudi mbs,0,1,False Negative
setahun disahkan uu ikn direvisi pemerintah dpr,0,0,True Positive
wapres bendera partai ummat kampanye ibadah,0,0,True Positive
kubu ahy gugatan ptun moeldoko hormati jokowi,0,0,True Positive
fx rudy disanksi dukung capres ganjar sindir dewan kolonel puan,0,0,True Positive
aji hapus pasal rkuhp ancaman kebebasan pers,0,0,True Positive
video latihan pengamanan polisi jepang pasca pembunuhan mantan pm jepang,1,1,True Negative
golkar patok target capres menang pileg persen,0,0,True Positive
foto anies baswedan membaca buku pedoman menata,1,1,True Negative
puan kenang tjahjo kumolo tenang sederhana spiritualitas,0,0,True Positive
akun instagram bupati tulang bawang barat umar tubaba,1,1,True Negative
puan prabowo kerja partai,0,0,True Positive
komedian peppy meninggal dunia,1,1,True Negative
pks nilai bahas amendemen uud pandemi,0,0,True Positive
pengurus partai ummat depok mengundurkan,0,0,True Positive
presiden putin peringati jokowi campur rusia ukraina,1,1,True Negative
ribuan kepala desa deklarasi jokowi periode lebaran,0,0,True Positive
air selokan malang berwarna hijau toska,1,1,True Negative
sby buka suara sistem pemilu tertutup,0,0,True Positive
gambar kejadian tangki bbm meledak purwokerto,1,1,True Negative
covid bhutan penduduknya vegetarian,1,1,True Negative
ma ruf menolak dob papua mayoritas,0,0,True Positive
video mata manusia mikroskop,1,1,True Negative
gara gara hti pertamina rugi triliun,1,1,True Negative
sekjen pdip pan gowes bareng jumat pagi sepakat ketemu,0,0,True Positive
golkar ikuti arahan jokowi penetapan capres,0,0,True Positive
partai ummat jalani verifikasi faktual ulang ntt sulut,0,0,True Positive
muhammadiyah kpu pemilu februari harga mati,0,0,True Positive
pki anggarkan triliun jokowi periode,1,1,True Negative
coba itu… dibayar brapa emak emak brani berbuat spt itu…urusan capres gak inget hijab,1,1,True Negative
abe din bantai dap,1,1,True Negative
shopee grab gojek dukung aksi nasional jokowi end game,1,1,True Negative
pemblokiran akses jalan kerinci bangko,1,1,True Negative
lsm cabut perppu ciptaker jokowi langgar putusan mk,0,0,True Positive
perludem menteri capres mundur ganggu kerja presiden,0,0,True Positive
video nikita sempoyongan,1,1,True Negative
ceo moderna mengakui vaksin covid penyakit nama,1,1,True Negative
mkd usut dugaan pelanggaran etik puan rayakan ultah ramai demo,0,0,True Positive
soroti pasal pidana pks tolak revisi perda covid jakarta,0,0,True Positive
survei tingkat kepuasan kinerja jokowi cenderung menurun,0,0,True Positive
habibie center kritik indeks demokrasi ri turun singgung sosok hitler,0,0,True Positive
sempurnakan ruu pks dpr siapkan kunker brasil ekuador,0,0,True Positive
foto efek samping dialami vaksinasi moderna covid,1,1,True Negative
fahri sindir fadli ataturk seret anies walisongo,0,0,True Positive
uji coba sukses kereta cepat jakarta bandung proyek kereta cepat asia tenggara,1,1,True Negative
relawan cimahi deklarasi dukung sandiaga capres,0,0,True Positive
komisi i dpr sentil ksad dudung harmonis panglima tni,0,0,True Positive
selebgram keanu meninggal dunia,1,1,True Negative
tabrakan setan,1,1,True Negative
gerindra pks oposisi kue parlemen diambil,0,0,True Positive
pkb deklarasi capres hindari kompetisi elite,0,0,True Positive
warga korea selatan vaksin mengikuti pemilu,1,1,True Negative
hasto marak baliho puan semeru semangat,0,0,True Positive
rapat paripurna dprd dki interpelasi formula e ditunda,0,0,True Positive
andika masyarakat berharap tni,0,0,True Positive
pesan berantai lazada grand prize hadiah ratusan juta rupiah,1,1,True Negative
sahkan undang lgbt pernikahan jenis,1,0,False Positive
survei spin duet prabowo ganjar ungguli anies ahy,0,0,True Positive
imigran ilegal amerika serikat kebebasan akses jaminan kesehatan hak memilih,1,1,True Negative
surya paloh bertemu pks koalisi,0,0,True Positive
jokowi dikabarkan kesulitan pilih panglima tni,0,0,True Positive
pdip sanksi arteria dahlan buntut kritik jaksa berbahasa sunda,0,0,True Positive
cerita megawati hidup sukarno dilengserkan,0,0,True Positive
panggilan interview kerja pt petrogas jatim utama whatsapp,1,1,True Negative
sahrul gunawan pakai jaket golkar nasdem buka suara,0,0,True Positive
terima somasi kpu periksa dugaan manipulasi verifikasi parpol,0,0,True Positive
gambar tangkapan layar artikel wapres pemerintah gak sengaja pakai dana haji dosa,1,1,True Negative
gedung kementrian dijual,1,1,True Negative
sby singgung pengangguran kemiskinan drop kepemimpinannya,0,0,True Positive
kpu tunggu revisi uu atur pemilu provinsi papua,0,0,True Positive
dpr target pembahasan ruu perlindungan data pribadi selesai juli,0,0,True Positive
desakan anggota dpr menag yaqut imbas santri gontor tewas dianiaya,0,1,False Negative
pdip rayu kaesang putra jokowi keluarga beda partai,0,0,True Positive
dpr ruang pembahasan ulang rkuhp,0,0,True Positive
survei presiden kepala daerah militer,0,0,True Positive
arteria dahlan dicap lebay pks bandingkan bahasa inggris nadiem,0,0,True Positive
pesta gay season city jakarta barat,1,1,True Negative
dpr bersolek ratusan miliar rupiah gorden pakan rusa,0,0,True Positive
kutipan ucapan stalin pemilu,1,0,False Positive
pks hapus opsi pjj golkar klaim ptm solusi terbaik,0,0,True Positive
dpr kapolsek tiduri anak tersangka diseret pidana,0,0,True Positive
kepercayaan parpol turun jaki tegaskan fraksi rakyat,0,0,True Positive
dpr hati hati ratifikasi perjanjian militer singapura,0,0,True Positive
jokowi dukung pilpres digelar februari pilkada september,0,0,True Positive
ruang angkasa buatan china,1,1,True Negative
survei persen warga setuju ruu tpks disahkan,0,0,True Positive
cairan nya utuh udah cabut aaaja mao bohongin rakyat hadehhh,1,1,True Negative
jokowi buka suara pertemuan anies baswedan,0,0,True Positive
gede pasek tegaskan partai hanura,0,0,True Positive
proyek cebong terkini sirkuit mandalika gk masuk berita tv,1,1,True Negative
jaga jarak mutusin matarantai eh konser rame doi,1,1,True Negative
canda yasonna laoly ahy presiden,0,0,True Positive
koalisi pkb gerindra buntu cak imin prabowo capres,0,0,True Positive
guntur romli sentil keras ebenezer bilang ganjar the next jokowi,0,0,True Positive
foto pesawat kepresidenan melintas proyek hambalang,1,1,True Negative
pdip umumkan capres juni,0,0,True Positive
relawan jokowi singgung pertempuran pdip bereaksi,0,0,True Positive
pengganti azis syamsuddin dilantik anggota dpr ri,0,0,True Positive
video cacing akibat makan sosis naget sejenisnya daging yg awetkan,1,1,True Negative
badan pengkajian mpr batal amendemen uud pphn uu,0,0,True Positive
dubes ri azyumardi azra meninggal serangan jantung,0,1,False Negative
lowongan kerja pt ags waskita karya biaya,1,1,True Negative
ahy migor isu tunda pemilu indonesia,0,0,True Positive
budaya syahri mata uang edisi khusus kemerdekaan indonesia,1,1,True Negative
relawan prabowo puan bawa kontestasi pilpres,0,0,True Positive
video mesjid paris serang polisi jamaah nya tangkap muslim pukulin mobil nya rusak,1,1,True Negative
gerindra putuskan kandidat penerus anies dki,0,0,True Positive
erick thohir bertemu prabowo subianto kantor kemhan,0,0,True Positive
tangerang simulasi pilkades serentak pandemi,0,1,False Negative
ditemukan pusat perbelanjaan palembang sumatera selatan palembang indah mall,1,1,True Negative
wacana maju pilpres sandiaga mengaku dihubungi partai,0,0,True Positive
logo uns flyer undangan alumni uns mendukung jokowi – maruf,1,1,True Negative
anies resmi dicopot,1,1,True Negative
komisi iii dpr polisi adil proses laporan husin shihab,0,0,True Positive
foto jokowi mengukur baju karya desainer ivan gunawan,1,1,True Negative
hasto respons sby turun gunung hati hati ganggu jokowi,0,0,True Positive
pemodal tambang ilegal tn batang gadis sumut ditahan dpo,0,1,False Negative
pelajar china vaksin kosong dki jakarta,1,1,True Negative
pesan whatsapp walikota tangerang donasi,1,1,True Negative
susi pudjiastuti dirut garuda desember,1,1,True Negative
nasdem bicara momen paloh sohibul ahy semeja resepsi putri anies,0,0,True Positive
pombensin tuban dibakar massa harga bbm tgl,1,1,True Negative
berhubung kagak pake jilbab… sumpahnya pake papan penggilesan aje…,1,1,True Negative
nasdem pks demokrat kunjungi golkar bahas pilpres,0,0,True Positive
muammar gaddafi prediksi covid,1,1,True Negative
orang karangturi balak cawas tertular virus corona,1,1,True Negative
pemilihan kpu bawaslu curi start daftar nama rapat,0,0,True Positive
paloh desakan nasdem koalisi komitmen dukung jokowi,0,0,True Positive
korban kecanduan game online gila,1,1,True Negative
fahri hamzah pemilu mundur singgung sby anak jokowi,0,0,True Positive
vlogger meninggal dunia memakan tokek beracun,1,1,True Negative
